 T(YR)=   100.00000000000000     
 ( H  He C  N  O  SI S  FE NA MG CL P F)
   1000000.0000000582        90000.000000000480        170.00000013163950        61.999999999142943        240.00000000131317        7.9999999941854846E-003   8.0000000158769249E-002   2.9999999999999996E-003   2.0000000000000013E-003   7.0000000000000201E-003   1.0000000000007405E-003   2.0000000000003039E-004   6.6800000004131437E-003
        1723  -9.5381060856991718E-020
        2189  -2.9883280703307260E-020
         565  -8.4495092220468364E-021
        1224  -3.9891715364425348E-021
 NO        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   8.7644402213698960E-012
         785   3.9530065830655356E-012
        2033   2.6997555671945178E-012
        2123   1.9488624141175113E-012
         899   1.5523859041342470E-013
        2133   3.9810564787425619E-015
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   6.8770900090783219E-012
        2031  -3.8484032948156697E-012
        3467  -1.8167172294837505E-012
        3466  -1.2111448196558336E-012
         850  -4.2739311017372582E-016
         867  -1.0313437122412671E-016
 NS        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   7.7954174563121003E-016
        2028   7.7941511349450673E-016
        6269   7.4733330827765937E-020
        6568   5.1898805651153054E-020
        4913   2.2447628970443487E-028
        2042   2.9990903201204575E-032
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   7.7975533919662004E-016
        2124  -5.8241644987985526E-016
        2032  -7.6964172887623012E-017
        3468  -6.2117919002476046E-017
        2125  -5.8241644987985511E-017
        1725  -9.7394359043078506E-021
 PH        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.5535479588214067E-016
        6574   1.5461167398926349E-016
        6594   1.0025874370832363E-016
        5019   4.1939247434898002E-019
        6572   6.2022618697129639E-020
        1278   1.4665372367099654E-021
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.4758858409746474E-016
        2127  -2.0249760958834933E-016
        2035  -3.4967845030759090E-017
        3473  -1.0120420766670799E-017
        1728  -1.7421955985188895E-021
        2195  -5.7515891064526191E-022
 PN        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.9015782163828756E-016
        2036   2.5512795398883133E-016
        2035   3.4967845030759090E-017
        6573   6.2022618697129639E-020
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   1.9065040281092265E-019
        1729  -1.0284923909720592E-019
        2782  -4.1173423007388085E-020
        2196  -3.6165436850875051E-020
        1233  -4.8789402302581939E-021
        5214  -3.2923502204658927E-021
 PO        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   3.6898467190672520E-016
        2127   2.0249760958834933E-016
        6575   1.5461167398926349E-016
         780   5.9789763230961935E-018
        2626   4.1483844333693729E-018
        4943   1.7477686312683490E-018
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.7218395504547368E-016
        2036  -2.5512795398883133E-016
        2037  -1.7002869302267927E-017
        1730  -3.4177772408371200E-020
        2197  -1.2040830103721414E-020
        5073  -3.2037597360370048E-021
 S2        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   5.5361731406573262E-019
         843   5.5315273641523919E-019
        5152   4.5913940887897156E-022
        6596   5.4382396973561969E-024
        3393   1.9170488011210306E-030
        4944   1.5323860605861048E-042
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   4.8369315993445006E-019
        2128  -3.7951556978081035E-019
        3474  -1.0413485608477624E-019
        1731  -2.7334658076154525E-023
        2783  -9.5227655588392594E-024
        2198  -3.8312906199474339E-024
 SiC       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   5.0854336644349231E-014
         790   4.7690010207030696E-014
        6863   3.1617629679392726E-015
