!
! 19-DEC-2018 15:17:26
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 12 18 /OUTPUT smm34_hcn10_red_3.txt
!
 1     33.286   -211.850 -3.98042E-02
 224    150.486    -50.700   1.3113    
 225    135.836    -50.700   1.1155    
 226    121.186    -50.700   1.0954    
 227    106.536    -50.700   1.1399    
 228     91.886    -50.700  0.77873    
 229     77.236    -50.700  0.50105    
 230     62.586    -50.700  0.73283    
 231     47.936    -50.700  0.60979    
 232     33.286    -50.700  0.49053    
 233     18.636    -50.700   1.0457    
 234      3.986    -50.700  0.98820    
 235    -10.664    -50.700   1.2306    
 236    -25.314    -50.700   1.3089    
 237    -39.964    -50.700   1.2421    
 238    -54.614    -50.700  0.95695    
 239    -69.264    -50.700  0.50915    
 240    -83.914    -50.700  0.45767    
 241    -83.914    -36.050  0.50527    
 242    -69.264    -36.050  0.53727    
 243    -54.614    -36.050  0.98204    
 244    -39.964    -36.050   1.2714    
 245    -25.314    -36.050   1.4940    
 246    -10.664    -36.050   1.5293    
 247      3.986    -36.050   1.3983    
 248     18.636    -36.050   1.1711    
 249     33.286    -36.050  0.52138    
 250     47.936    -36.050  0.74950    
 251     62.586    -36.050  0.82251    
 252     77.236    -36.050  0.68692    
 253     91.886    -36.050  0.64822    
 254    106.536    -36.050  0.71426    
 255    121.186    -36.050  0.79702    
 256    135.836    -36.050   1.1579    
 257    150.486    -36.050   1.2018    
 258    165.136    -36.050   1.5687    
 259    179.786    -36.050   1.5769    
 260    194.436    -36.050   1.5822    
 261    209.086    -36.050   2.1640    
 262    223.736    -36.050   2.2731    
 263    238.386    -36.050   2.3153    
 264    238.386    -21.400   2.1890    
 265    223.736    -21.400   2.1743    
 266    209.086    -21.400   1.6493    
 267    194.436    -21.400   1.3076    
 268    179.786    -21.400   1.3378    
 269    165.136    -21.400   1.4618    
 270    150.486    -21.400   1.2033    
 271    135.836    -21.400  0.85811    
 272    121.186    -21.400   1.1259    
 273    106.536    -21.400  0.67401    
 274     91.886    -21.400  0.79879    
 275     77.236    -21.400  0.57321    
 276     62.586    -21.400  0.89457    
 277     47.936    -21.400  0.88798    
 278     33.286    -21.400  0.90240    
 279     18.636    -21.400   1.3817    
 280      3.986    -21.400   1.6883    
 281    -10.664    -21.400   1.4385    
 282    -25.314    -21.400   1.6310    
 283    -39.964    -21.400   1.1669    
 284    -54.614    -21.400  0.75011    
 285    -69.264    -21.400  0.64532    
 286    -83.914    -21.400  0.62789    
 287    -83.914     -6.750  0.65806    
 288    -69.264     -6.750  0.68051    
 289    -54.614     -6.750  0.97052    
 290    -39.964     -6.750   1.5082    
 291    -25.314     -6.750   1.8002    
 292    -10.664     -6.750   2.1783    
 293      3.986     -6.750   2.0227    
 294     18.636     -6.750   1.4173    
 295     33.286     -6.750  0.98445    
 296     47.936     -6.750  0.95330    
 297     62.586     -6.750  0.89890    
 298     77.236     -6.750  0.67403    
 299     91.886     -6.750  0.52391    
 300    106.536     -6.750  0.83168    
 301    121.186     -6.750   1.0189    
 302    135.836     -6.750  0.91969    
 303    150.486     -6.750   1.1826    
