!
! 18-DEC-2018 16:15:02
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area -13.5 6 /OUTPUT smm3_co65_blue.txt
!
 224     -9.936   -191.400  -7.3419    
 225    -14.736   -191.400  -6.2942    
 226    -14.736   -186.600  -6.1004    
 227     -9.936   -186.600  -3.7792    
 228     -5.136   -186.600   1.1509    
 229     -0.336   -186.600  -10.545    
 230      4.464   -186.600  -4.7064    
 231      9.264   -186.600  -3.0586    
 232     14.064   -186.600  0.68522    
 233     18.864   -186.600   1.6426    
 234     23.664   -186.600   6.4902    
 235     28.464   -186.600   2.0695    
 236     33.264   -186.600 -0.20239    
 237     38.064   -186.600  8.66886E-02
 238     42.864   -186.600   3.0978    
 239     47.664   -186.600  8.25674E-02
 240     52.464   -186.600  -2.3494    
 241     57.264   -186.600   5.2118    
 242     62.064   -186.600 -0.73820    
 243     66.864   -186.600   1.8695    
 244     71.664   -186.600  -1.8269    
 245     76.464   -186.600   4.6363    
 246     81.264   -186.600   4.0825    
 247     86.064   -186.600   2.4733    
 248     90.864   -186.600   2.5521    
 249     95.664   -186.600   8.4254    
 250    100.464   -186.600   2.6401    
 251    105.264   -186.600   1.5598    
 252    110.064   -186.600   3.1964    
 253    114.864   -186.600   3.1894    
 254    119.664   -186.600   4.4532    
 255    124.464   -186.600   2.7489    
 256    129.264   -186.600   7.8850    
 257    134.064   -186.600   7.0448    
 258    138.864   -186.600   1.4925    
 259    143.664   -186.600   5.9390    
 260    148.464   -186.600   6.9351    
 261    153.264   -186.600   3.9123    
 262    158.064   -186.600   8.5875    
 263    162.864   -186.600   3.8219    
 264    167.664   -186.600   5.8563    
 265    172.464   -186.600   2.0350    
 266    177.264   -186.600   6.5284    
 267    182.064   -186.600   5.7526    
 268    186.864   -186.600   4.8574    
 269    191.664   -186.600  -1.3032    
 270    196.464   -186.600   4.5378    
 271    201.264   -186.600   6.1634    
 272    206.064   -186.600  0.27367    
 273    210.864   -186.600  0.29062    
 274    215.664   -181.800   7.5056    
 275    210.864   -181.800   9.0848    
 276    206.064   -181.800   2.5721    
 277    201.264   -181.800  0.65470    
 278    196.464   -181.800   1.7033    
 279    191.664   -181.800   1.0288    
 280    186.864   -181.800   4.6166    
 281    182.064   -181.800  0.93846    
 282    177.264   -181.800   5.6719    
 283    172.464   -181.800   3.7396    
 284    167.664   -181.800   7.7660    
 285    162.864   -181.800   4.2883    
 286    158.064   -181.800   9.8384    
 287    153.264   -181.800   9.0806    
 288    148.464   -181.800   10.025    
 289    143.664   -181.800   9.8858    
 290    138.864   -181.800   9.7217    
 291    134.064   -181.800   9.1075    
 292    129.264   -181.800   5.8283    
 293    124.464   -181.800   8.0979    
 294    119.664   -181.800   1.7806    
 295    114.864   -181.800   2.6407    
 296    110.064   -181.800   5.9329    
 297    105.264   -181.800   3.6055    
 298    100.464   -181.800 -0.21475    
 299     95.664   -181.800   1.2663    
 300     90.864   -181.800   1.4748    
 301     86.064   -181.800   2.0302    
 302     81.264   -181.800   3.5988    
 303     76.464   -181.800   2.8258    
 304     71.664   -181.800  0.47309    
 305     66.864   -181.800   2.0090    
 306     62.064   -181.800  0.94249    
 307     57.264   -181.800  -2.1332    
 308     52.464   -181.800  0.75495    
 309     47.664   -181.800  -1.2820    
 310     42.864   -181.800   4.9183    
 311     38.064   -181.800  -1.5471    
 312     33.264   -181.800 -0.43694    
 313     28.464   -181.800   5.2063    
 314     23.664   -181.800   3.2671    
 315     18.864   -181.800  0.13423    
 316     14.064   -181.800  0.70448    
 317      9.264   -181.800   3.4279    
 318      4.464   -181.800   3.8292    
 319     -0.336   -181.800   5.3861    
 320     -5.136   -181.800  -6.4256    
 321     -9.936   -181.800 -7.90674E-02
 322    -14.736   -181.800 -4.66360E-02
 323    -14.736   -177.000  0.86561    
 324     -9.936   -177.000  0.98366    
 325     -5.136   -177.000   7.6105    
 326     -0.336   -177.000   2.1807    
 327      4.464   -177.000  -3.1910    
 328      9.264   -177.000  -1.4429    
 329     14.064   -177.000  0.38757    
 330     18.864   -177.000  -5.2095    
 331     23.664   -177.000  0.39657    
 332     28.464   -177.000   3.1376    
 333     33.264   -177.000  0.15820    
 334     38.064   -177.000   1.8997    
 335     42.864   -177.000   1.2958    
 336     47.664   -177.000  0.69513    
 337     52.464   -177.000   5.4175    
 338     57.264   -177.000 -0.18301    
 339     62.064   -177.000   2.6918    
 340     66.864   -177.000   3.0885    
 341     71.664   -177.000   4.1356    
 342     76.464   -177.000   1.6625    
 343     81.264   -177.000   3.7592    
 344     86.064   -177.000   1.6654    
 345     90.864   -177.000   1.6165    
 346     95.664   -177.000   5.7226    
 347    100.464   -177.000  0.65396    
 348    105.264   -177.000   6.1735    
 349    110.064   -177.000   5.8253    
 350    114.864   -177.000   4.8979    
 351    119.664   -177.000   5.6840    
 352    124.464   -177.000   6.4843    
 353    129.264   -177.000   5.1733    
 354    134.064   -177.000   11.667    
 355    138.864   -177.000   8.7392    
 356    143.664   -177.000   5.1392    
 357    148.464   -177.000   10.523    
 358    153.264   -177.000   11.870    
 359    158.064   -177.000   13.201    
 360    162.864   -177.000   12.071    
 361    167.664   -177.000   4.8891    
 362    172.464   -177.000   5.5539    
 363    177.264   -177.000   8.0954    
 364    182.064   -177.000   5.4879    
 365    186.864   -177.000   7.9706    
 366    191.664   -177.000   8.2045    
 367    196.464   -177.000   1.0499    
 368    201.264   -177.000   8.5776    
 369    206.064   -177.000   12.686    
 370    210.864   -177.000   7.1729    
 371    215.664   -177.000   7.4509    
 372    215.664   -172.200  -1.7979    
 373    210.864   -172.200  -2.9313    
 374    206.064   -172.200   4.0631    
 375    201.264   -172.200  0.91249    
 376    196.464   -172.200   7.2359    
 377    191.664   -172.200   6.5883    
 378    186.864   -172.200   3.1442    
 379    182.064   -172.200   1.5049    
 380    177.264   -172.200   2.7064    
 381    172.464   -172.200   2.5243    
 382    167.664   -172.200   7.5451    
 383    162.864   -172.200   4.9008    
 384    158.064   -172.200   10.512    
 385    153.264   -172.200   11.805    
 386    148.464   -172.200   11.308    
 387    143.664   -172.200   10.898    
 388    138.864   -172.200   12.557    
 389    134.064   -172.200   10.868    
 390    129.264   -172.200   6.3005    
 391    124.464   -172.200   7.7656    
 392    119.664   -172.200   2.5215    
 393    114.864   -172.200   4.1695    
 394    110.064   -172.200   2.7059    
 395    105.264   -172.200   4.4324    
 396    100.464   -172.200  0.39972    
 397     95.664   -172.200   3.7791    
 398     90.864   -172.200   1.2590    
 399     86.064   -172.200   1.9986    
 400     81.264   -172.200   3.0235    
 401     76.464   -172.200  0.31687    
 402     71.664   -172.200 -0.28698    
 403     66.864   -172.200   1.2969    
 404     62.064   -172.200   1.0050    
 405     57.264   -172.200  0.21134    
 406     52.464   -172.200  0.69280    
 407     47.664   -172.200   1.0420    
 408     42.864   -172.200   2.0845    
 409     38.064   -172.200  0.43595    
 410     33.264   -172.200   1.4499    
 411     28.464   -172.200 -0.45020    
 412     23.664   -172.200  2.02513E-02
 413     18.864   -172.200   2.5216    
 414     14.064   -172.200   1.6597    
 415      9.264   -172.200  -1.0983    
 416      4.464   -172.200  -3.5197    
 417     -0.336   -172.200  0.21006    
 418     -5.136   -172.200   1.2996    
 419     -9.936   -172.200 -0.54673    
 420    -14.736   -172.200 -0.17711    
 421    -14.736   -167.400 -0.29406    
 422     -9.936   -167.400  -1.0528    
 423     -5.136   -167.400 -0.60699    
 424     -0.336   -167.400  -2.2696    
 425      4.464   -167.400   5.2661    
 426      9.264   -167.400  -2.6067    
 427     14.064   -167.400   2.6105    
 428     18.864   -167.400  -1.6077    
 429     23.664   -167.400  0.53106    
 430     28.464   -167.400   1.4218    
 431     33.264   -167.400   1.3102    
 432     38.064   -167.400  6.13165E-02
 433     42.864   -167.400 -0.10981    
 434     47.664   -167.400 -0.59721    
 435     52.464   -167.400  4.39664E-02
 436     57.264   -167.400   2.4363    
 437     62.064   -167.400  0.49779    
 438     66.864   -167.400 -0.37896    
 439     71.664   -167.400   3.6743    
 440     76.464   -167.400   1.3065    
 441     81.264   -167.400   1.6925    
 442     86.064   -167.400   1.6145    
 443     90.864   -167.400   2.2923    
 444     95.664   -167.400   4.3863    
 445    100.464   -167.400  0.85397    
 446    105.264   -167.400   2.1148    
 447    110.064   -167.400   6.8366    
 448    114.864   -167.400   3.3126    
 449    119.664   -167.400   2.0378    
 450    124.464   -167.400   8.6722    
 451    129.264   -167.400   8.8308    
 452    134.064   -167.400   10.221    
 453    138.864   -167.400   10.195    
 454    143.664   -167.400   12.759    
 455    148.464   -167.400   13.199    
 456    153.264   -167.400   10.827    
 457    158.064   -167.400   5.8581    
 458    162.864   -167.400   6.2961    
 459    167.664   -167.400   4.3053    
 460    172.464   -167.400   3.3956    
 461    177.264   -167.400   2.2291    
 462    182.064   -167.400  0.45982    
 463    186.864   -167.400  -1.8354    
 464    191.664   -167.400   4.8842    
 465    196.464   -167.400  -3.4829    
 466    201.264   -167.400 -8.11737E-02
 467    206.064   -167.400  9.87630E-02
 468    210.864   -167.400   1.5091    
 469    215.664   -167.400   1.8749    
 470    215.664   -162.600  -10.578    
 471    210.864   -162.600  -9.3099    
 472    206.064   -162.600  -2.7026    
 473    201.264   -162.600 -0.98439    
 474    196.464   -162.600   2.6239    
 475    191.664   -162.600   1.5332    
 476    186.864   -162.600   1.2791    
 477    182.064   -162.600 -3.07838E-02
 478    177.264   -162.600   3.9992    
 479    172.464   -162.600   5.0842    
 480    167.664   -162.600   5.2688    
 481    162.864   -162.600   2.1774    
 482    158.064   -162.600   8.3457    
 483    153.264   -162.600   9.1348    
 484    148.464   -162.600   15.995    
 485    143.664   -162.600   15.699    
 486    138.864   -162.600   15.258    
