!
! 18-DEC-2018 16:14:36
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area 10.5 31 /OUTPUT smm3_co65_red.txt
!
 311     38.064   -181.800   1.6131    
 312     33.264   -181.800  -1.3271    
 313     28.464   -181.800   4.8314    
 314     23.664   -181.800   3.3434    
 315     18.864   -181.800   1.1859    
 316     14.064   -181.800   2.6645    
 317      9.264   -181.800   5.4389    
 318      4.464   -181.800  -4.3032    
 319     -0.336   -181.800   4.0637    
 320     -5.136   -181.800  -6.3271    
 321     -9.936   -181.800  -8.0202    
 322    -14.736   -181.800  -8.0894    
 323    -14.736   -177.000   12.007    
 324     -9.936   -177.000   11.148    
 325     -5.136   -177.000  0.54392    
 326     -0.336   -177.000  -1.5636    
 327      4.464   -177.000  -7.2191    
 328      9.264   -177.000  -1.2019    
 329     14.064   -177.000  -3.8548    
 330     18.864   -177.000  -2.9989    
 331     23.664   -177.000  -1.9421    
 332     28.464   -177.000 -0.79727    
 333     33.264   -177.000   1.5238    
 334     38.064   -177.000 -0.23933    
 335     42.864   -177.000 -5.00449E-02
 336     47.664   -177.000   2.6419    
 337     52.464   -177.000  0.80705    
 338     57.264   -177.000  -1.8677    
 339     62.064   -177.000   2.3197    
 340     66.864   -177.000  -1.7992    
 341     71.664   -177.000 -0.11034    
 342     76.464   -177.000 -0.31120    
 343     81.264   -177.000  0.86564    
 344     86.064   -177.000   2.7789    
 345     90.864   -177.000  -1.4663    
 346     95.664   -177.000  0.70892    
 347    100.464   -177.000   4.6836    
 348    105.264   -177.000   3.6163    
 349    110.064   -177.000   8.0561    
 350    114.864   -177.000   9.7812    
 351    119.664   -177.000   13.764    
 352    124.464   -177.000   17.525    
 353    129.264   -177.000   18.572    
 354    134.064   -177.000   20.504    
 355    138.864   -177.000   12.978    
 356    143.664   -177.000   3.1743    
 357    148.464   -177.000   2.3401    
 358    153.264   -177.000  0.84135    
 359    158.064   -177.000  -1.5302    
 360    162.864   -177.000 -0.21331    
 361    167.664   -177.000 -0.87435    
 362    172.464   -177.000   3.3286    
 363    177.264   -177.000   4.3175    
 364    182.064   -177.000   5.1641    
 365    186.864   -177.000   3.0441    
 366    191.664   -177.000   2.2192    
 367    196.464   -177.000   5.2111    
 368    201.264   -177.000   3.8771    
 369    206.064   -177.000   3.1273    
 370    210.864   -177.000   5.3482    
 371    215.664   -177.000   5.5548    
 372    215.664   -172.200   5.0426    
 373    210.864   -172.200   4.9645    
 374    206.064   -172.200  -1.2737    
 375    201.264   -172.200   2.9283    
 376    196.464   -172.200   3.8104    
 377    191.664   -172.200   2.0146    
 378    186.864   -172.200   2.4346    
 379    182.064   -172.200  -1.8909    
 380    177.264   -172.200  -2.6659    
 381    172.464   -172.200   1.9784    
 382    167.664   -172.200   1.8531    
 383    162.864   -172.200   3.0476    
 384    158.064   -172.200   1.5519    
 385    153.264   -172.200   2.1460    
 386    148.464   -172.200   4.2161    
 387    143.664   -172.200   8.4000    
 388    138.864   -172.200   12.821    
 389    134.064   -172.200   13.620    
 390    129.264   -172.200   20.353    
 391    124.464   -172.200   16.666    
 392    119.664   -172.200   17.818    
 393    114.864   -172.200   14.235    
 394    110.064   -172.200   8.5175    
 395    105.264   -172.200   4.9448    
 396    100.464   -172.200   3.3751    
 397     95.664   -172.200   2.4591    
 398     90.864   -172.200  -1.7180    
 399     86.064   -172.200   1.8187    
 400     81.264   -172.200   4.1431    
 401     76.464   -172.200   4.1837    
 402     71.664   -172.200  0.20635    
 403     66.864   -172.200   2.6632    
 404     62.064   -172.200   2.4860    
 405     57.264   -172.200   1.6693    
 406     52.464   -172.200  0.58516    
 407     47.664   -172.200   1.0204    
 408     42.864   -172.200  0.41639    
 409     38.064   -172.200  0.46190    
 410     33.264   -172.200  -1.0290    
 411     28.464   -172.200  0.35581    
 412     23.664   -172.200  -1.1853    
 413     18.864   -172.200 -5.02980E-02
 414     14.064   -172.200   2.9294    
 415      9.264   -172.200   4.6561    
 416      4.464   -172.200   5.7864    
 417     -0.336   -172.200   5.3528    
 418     -5.136   -172.200   2.4082    
 419     -9.936   -172.200  -2.5354    
 420    -14.736   -172.200   1.4122    
 421    -14.736   -167.400  -3.6371    
 422     -9.936   -167.400  -7.8896    
 423     -5.136   -167.400  -2.5994    
 424     -0.336   -167.400   1.7215    
 425      4.464   -167.400  -2.0232    
 426      9.264   -167.400   3.4689    
 427     14.064   -167.400   3.9451    
 428     18.864   -167.400   1.4324    
 429     23.664   -167.400   3.3346    
 430     28.464   -167.400   1.8388    
 431     33.264   -167.400 -0.83867    
 432     38.064   -167.400  0.11482    
 433     42.864   -167.400 -0.71775    
 434     47.664   -167.400  0.16641    
 435     52.464   -167.400   1.0348    
 436     57.264   -167.400  0.46810    
 437     62.064   -167.400   1.7188    
 438     66.864   -167.400   2.4088    
 439     71.664   -167.400  0.51366    
 440     76.464   -167.400  0.88755    
 441     81.264   -167.400   2.2818    
 442     86.064   -167.400  0.94989    
 443     90.864   -167.400   5.1758    
 444     95.664   -167.400   4.4316    
 445    100.464   -167.400   3.8554    
 446    105.264   -167.400   9.6574    
 447    110.064   -167.400   13.155    
 448    114.864   -167.400   12.932    
 449    119.664   -167.400   15.091    
 450    124.464   -167.400   15.047    
