!
! 02-MAY-2019 21:54:14
! Input file  : serpens_h13cn10_red.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 263  *********   4407.700 -0.78884    
 264  *********   4407.700   1.5739    
 265  *********   4407.700   2.0462    
 266  *********   4407.700   1.4821    
 267  *********   4407.700  0.37809    
 268  *********   4407.700  0.93760    
 269  *********   4407.700  0.85177    
 270  *********   4407.700   1.0136    
 271  *********   4407.700  0.34982    
 272  *********   4407.700  0.80286    
 273  *********   4407.700   2.4488    
 274  *********   4407.700   1.9754    
 275  *********   4407.700   1.1913    
 276  *********   4407.700  -2.0979    
 277  *********   4407.700  0.17004    
 278  *********   4407.700 -0.17404    
 279  *********   4407.700  8.76432E-02
 280  *********   4407.700  -1.6664    
 281  *********   4407.700  -3.2172    
 282  *********   4407.700  -1.6516    
 283  *********   4407.700  -1.8796    
 284  *********   4407.700 -1.86720E-02
 285  *********   4407.700  0.79926    
 286  *********   4407.700  0.88971    
 287  *********   4407.700  -1.2019    
 288  *********   4407.700  0.84219    
 289  *********   4407.700 -0.70099    
 290  *********   4327.700 -0.28848    
 291  *********   4327.700  -1.9764    
 292  *********   4327.700  3.07440E-02
 293  *********   4327.700 -0.91510    
 294  *********   4327.700 -0.59608    
 295  *********   4327.700 -8.01182E-02
 296  *********   4327.700  0.12989    
 297  *********   4327.700   1.9929    
 298  *********   4327.700   1.6687    
 299  *********   4327.700 -0.37374    
 300  *********   4327.700 -0.97241    
 301  *********   4327.700 -0.95317    
 302  *********   4327.700 -0.87806    
 303  *********   4327.700  -1.3408    
 304  *********   4327.700  0.96644    
 305  *********   4327.700  0.35335    
 306  *********   4327.700 -0.25778    
 307  *********   4327.700  -1.5234    
 308  *********   4327.700  -2.2050    
 309  *********   4327.700 -0.67785    
 310  *********   4327.700  0.23955    
 311  *********   4327.700  0.38734    
 312  *********   4327.700 -0.42369    
 313  *********   4327.700   1.6698    
 314  *********   4327.700  -1.0719    
 315  *********   4327.700  -2.8552    
 316  *********   4327.700 -0.14570    
 317  *********   4327.700 -2.19724E-02
 318  *********   4327.700   1.0741    
 319  *********   4327.700 -0.40414    
 320  *********   4327.700  -1.5021    
 321  *********   4327.700   1.4373    
 322  *********   4327.700  6.63889E-03
 323  *********   4327.700  0.78453    
 324  *********   4327.700   1.0373    
 325  *********   4327.700   3.3590    
 326  *********   4327.700   1.5585    
 327  *********   4327.700  0.80279    
 328  *********   4327.700  0.19341    
 329  *********   4327.700   2.3239    
 330  *********   4327.700   2.4168    
 331  *********   4327.700  0.13132    
