!
! 05-JAN-2020 20:14:54
! Input file  : ngc1333_c34s32_conv.30m
! Input command: ANALYSE\PRINT area -12.4 -9.5 /OUTPUT ngc1333_c34s32_1s.txt
!
 246     10.931     28.600  0.40794    
 247      1.981     28.600  0.24530    
 248     -6.969     28.600  0.18563    
 249    -15.919     28.600  0.24416    
 250    -24.869     28.600  6.58379E-02
 251    -33.819     28.600  0.20003    
 252    -42.769     28.600  0.20167    
 253    -69.619     28.600  0.27602    
 254    -78.569     28.600  0.27602    
 255    -42.769     37.550  9.21534E-02
 256    -33.819     37.550  0.17708    
 257    -24.869     37.550  4.53685E-02
 258    -15.919     37.550  0.25667    
 259     -6.969     37.550  0.22460    
 260      1.981     37.550  0.31194    
 261     10.931     37.550  0.43845    
 262     19.881     37.550  0.36675    
 263     28.831     37.550  0.28224    
 264     37.781     37.550  0.34058    
 265    118.331     64.400  0.23175    
 266    109.381     64.400  0.23175    
 267    100.431     64.400  0.23175    
 268    100.431     73.350  0.23175    
 269    109.381     73.350  0.23175    
 270    118.331     73.350  0.23175    
 271    118.331     82.300  0.23175    
 272    109.381     82.300  0.23175    
 273    100.431     82.300  0.23175    
 274    109.381     91.250  0.23175    
