!
! 05-JAN-2020 19:43:15
! Input file  : ngc1333_cs32_conv.30m
! Input command: ANALYSE\PRINT area -18.6 -7.2 /OUTPUT ngc1333_cs32_int.txt
!
 248   -122.280    -88.603  0.89366    
 249   -113.480    -88.603   1.7710    
 250   -104.680    -88.603   1.6298    
 251    -95.880    -88.603   2.1793    
 252    -87.080    -88.603   2.0883    
 253    -78.280    -88.603   1.3917    
 254    -69.480    -88.603   1.9386    
 255    -60.680    -88.603   1.9435    
 256    -51.880    -88.603   2.0842    
 257    -43.080    -88.603   1.5314    
 258    -34.280    -88.603   3.0375    
 259    -25.480    -88.603   2.6881    
 260    -16.680    -88.603   2.7535    
 261     -7.880    -88.603   3.6023    
 262      0.920    -88.603   3.3526    
 263      9.720    -88.603   3.4222    
 264     18.520    -88.603   4.1130    
 265     27.320    -88.603   4.1907    
 266     36.120    -88.603   3.8636    
 267     44.920    -88.603   4.1461    
 268     53.720    -88.603   3.9779    
 269     62.520    -88.603   3.8347    
 270     71.320    -88.603   4.6222    
 271     80.120    -88.603   4.8364    
 272     88.920    -88.603   3.9889    
 273     97.720    -88.603   3.8835    
 274    106.520    -88.603   4.5108    
 275    115.320    -88.603   4.9419    
 276    124.120    -88.603   4.1928    
 277    132.920    -88.603   4.6929    
 278    141.720    -88.603   5.0363    
 279    150.520    -88.603   4.8537    
 280    159.320    -88.603   6.4265    
 281    168.120    -88.603   7.7573    
 282    176.920    -88.603   7.3349    
 283    185.720    -88.603   9.2512    
 284    194.520    -88.603   11.788    
 285    203.320    -88.603   10.044    
 286    212.120    -88.603   11.155    
 287    220.920    -88.603   7.3670    
 288    229.720    -88.603   3.7444    
 289    238.520    -88.603   1.7166    
 290    247.320    -88.603   1.0374    
 291    256.120    -88.603   2.3748    
 292    264.920    -79.803   1.5060    
 293    256.120    -79.803   2.3445    
 294    247.320    -79.803   2.9231    
 295    238.520    -79.803   1.4623    
 296    229.720    -79.803   4.1880    
 297    220.920    -79.803   7.2437    
 298    212.120    -79.803   8.8017    
 299    203.320    -79.803   12.734    
 300    194.520    -79.803   19.712    
 301    185.720    -79.803   17.308    
 302    176.920    -79.803   10.345    
 303    168.120    -79.803   6.4973    
 304    159.320    -79.803   5.0727    
 305    150.520    -79.803   4.5380    
 306    141.720    -79.803   4.8638    
 307    132.920    -79.803   4.7471    
 308    124.120    -79.803   5.4344    
 309    115.320    -79.803   5.9153    
 310    106.520    -79.803   5.9416    
 311     97.720    -79.803   5.0013    
 312     88.920    -79.803   3.9807    
 313     80.120    -79.803   4.9553    
 314     71.320    -79.803   4.8105    
 315     62.520    -79.803   4.9300    
 316     53.720    -79.803   4.7911    
 317     44.920    -79.803   3.6634    
 318     36.120    -79.803   4.1867    
 319     27.320    -79.803   4.5958    
 320     18.520    -79.803   4.3506    
 321      9.720    -79.803   3.3949    
 322      0.920    -79.803   3.7375    
 323     -7.880    -79.803   3.3973    
 324    -16.680    -79.803   3.0780    
 325    -25.480    -79.803   2.7302    
 326    -34.280    -79.803   3.4526    
 327    -43.080    -79.803   2.0941    
 328    -51.880    -79.803   2.3369    
 329    -60.680    -79.803   2.1287    
 330    -69.480    -79.803   2.1503    
 331    -78.280    -79.803   2.3114    
 332    -87.080    -79.803   1.9599    
 333    -95.880    -79.803   1.8933    
 334   -104.680    -79.803   1.8105    
 335   -113.480    -79.803   1.1717    
 336   -122.280    -79.803   1.4442    
 337   -131.080    -79.803  0.71755    
 338   -139.880    -79.803  0.85971    
 339   -148.680    -79.803  0.76410    
 340   -157.480    -79.803  0.44431    
 341   -166.280    -79.803  0.16950    
 342   -175.080    -79.803 -5.35882E-02
 343   -183.880    -79.803  0.26265    
 344   -192.680    -79.803  0.30299    
 345   -192.680    -71.003 -0.18403    
 346   -183.880    -71.003 -0.18429    
 347   -175.080    -71.003 -0.11622    
 348   -166.280    -71.003 -6.55580E-02
 349   -157.480    -71.003  0.70131    
 350   -148.680    -71.003   1.0135    
 351   -139.880    -71.003  0.42971    
 352   -131.080    -71.003  0.62317    
 353   -122.280    -71.003  0.65940    
 354   -113.480    -71.003   1.7214    
 355   -104.680    -71.003   1.3973    
 356    -95.880    -71.003   2.0742    
 357    -87.080    -71.003   2.0642    
 358    -78.280    -71.003   1.9503    
 359    -69.480    -71.003   1.8998    
 360    -60.680    -71.003   1.9323    
 361    -51.880    -71.003   2.0798    
 362    -43.080    -71.003   2.6411    
 363    -34.280    -71.003   3.2712    
 364    -25.480    -71.003   3.1068    
 365    -16.680    -71.003   3.2660    
 366     -7.880    -71.003   3.1562    
 367      0.920    -71.003   3.4757    
 368      9.720    -71.003   3.5564    
 369     18.520    -71.003   3.8728    
 370     27.320    -71.003   3.5849    
 371     36.120    -71.003   3.4629    
 372     44.920    -71.003   3.7014    
 373     53.720    -71.003   3.6567    
 374     62.520    -71.003   3.8765    
 375     71.320    -71.003   4.5702    
 376     80.120    -71.003   4.2738    
 377     88.920    -71.003   4.0421    
 378     97.720    -71.003   3.9564    
 379    106.520    -71.003   4.6153    
 380    115.320    -71.003   5.1522    
 381    124.120    -71.003   4.7824    
 382    132.920    -71.003   4.3745    
 383    141.720    -71.003   3.8859    
 384    150.520    -71.003   4.4304    
 385    159.320    -71.003   4.9078    
 386    168.120    -71.003   5.4732    
 387    176.920    -71.003   10.654    
 388    185.720    -71.003   19.238    
 389    194.520    -71.003   26.711    
 390    203.320    -71.003   15.248    
 391    212.120    -71.003   7.2261    
 392    220.920    -71.003   3.5845    
 393    229.720    -71.003   2.2849    
 394    238.520    -71.003   2.7746    
 395    247.320    -71.003   1.6859    
 396    256.120    -71.003   1.4224    
 397    264.920    -71.003   2.0979    
 398    273.720    -71.003   2.9071    
 399    273.720    -62.203   2.3379    
 400    264.920    -62.203   2.0488    
 401    256.120    -62.203   2.1870    
 402    247.320    -62.203   2.1512    
 403    238.520    -62.203   2.4386    
 404    229.720    -62.203   2.6704    
 405    220.920    -62.203   3.9141    
 406    212.120    -62.203   6.5477    
 407    203.320    -62.203   12.889    
 408    194.520    -62.203   17.982    
 409    185.720    -62.203   16.488    
 410    176.920    -62.203   8.5040    
 411    168.120    -62.203   6.4279    
 412    159.320    -62.203   5.5797    
 413    150.520    -62.203   5.1212    
 414    141.720    -62.203   4.6300    
 415    132.920    -62.203   5.0475    
 416    124.120    -62.203   4.9866    
 417    115.320    -62.203   6.1797    
 418    106.520    -62.203   5.5704    
 419     97.720    -62.203   4.8261    
 420     88.920    -62.203   4.8503    
 421     80.120    -62.203   5.0996    
 422     71.320    -62.203   5.1507    
 423     62.520    -62.203   4.6679    
 424     53.720    -62.203   4.8519    
 425     44.920    -62.203   3.7735    
 426     36.120    -62.203   4.3527    
 427     27.320    -62.203   5.3739    
 428     18.520    -62.203   5.2069    
 429      9.720    -62.203   4.2299    
 430      0.920    -62.203   3.6612    
 431     -7.880    -62.203   3.4560    
 432    -16.680    -62.203   3.1330    
 433    -25.480    -62.203   3.3647    
 434    -34.280    -62.203   2.2475    
 435    -43.080    -62.203   2.2036    
 436    -51.880    -62.203   2.1964    
 437    -60.680    -62.203   1.9606    
 438    -69.480    -62.203   1.7547    
 439    -78.280    -62.203   1.9601    
 440    -87.080    -62.203   2.3147    
 441    -95.880    -62.203   1.8901    
 442   -104.680    -62.203   1.3482    
 443   -113.480    -62.203   1.5453    
 444   -122.280    -62.203   1.5055    
 445   -131.080    -62.203   1.1638    
 446   -139.880    -62.203  0.89196    
 447   -148.680    -62.203   1.0485    
 448   -157.480    -62.203  0.35263    
