!
! 15-AUG-2019 20:26:28
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -88.7 -86.9 /OUTPUT ngc1333_cn10_int_5.txt
!
 272   -148.430    -47.503  0.39895    
 273   -163.080    -47.503  0.30072    
 274   -177.730    -47.503  0.21014    
 275   -192.380    -47.503  0.18219    
 276   -207.030    -47.503  0.18636    
 277   -207.030    -32.853  0.20343    
 278   -192.380    -32.853  0.19169    
 279   -177.730    -32.853  0.21351    
 280   -163.080    -32.853  0.30523    
 281   -148.430    -32.853  0.38206    
 282   -133.780    -32.853  0.24519    
 283   -119.130    -32.853  0.20247    
 284   -104.480    -32.853  0.13631    
 285    -89.830    -32.853  0.24256    
 286    -75.180    -32.853  0.26142    
 287    -60.530    -32.853  0.25723    
 288    -45.880    -32.853  0.11761    
 289    -31.230    -32.853  9.46658E-02
 290    -16.580    -32.853  0.15167    
 291     -1.930    -32.853  0.29764    
 292     12.720    -32.853  0.28407    
 293     27.370    -32.853  0.15401    
 294     42.020    -32.853  5.53458E-02
 295     56.670    -32.853  4.60796E-03
 296     71.320    -32.853  4.59062E-03
 297     85.970    -32.853 -3.25863E-02
 298    100.620    -32.853  8.84417E-02
 299    115.270    -32.853  0.10711    
 300    129.920    -32.853  4.55708E-02
 301    144.570    -32.853  7.32982E-02
 302    159.220    -32.853  0.21307    
 303    173.870    -32.853  0.29655    
 304    188.520    -32.853  0.31878    
 305    203.170    -32.853  0.29584    
 306    217.820    -32.853  0.11306    
 307    232.470    -32.853  9.15604E-02
 308    247.120    -32.853  0.19453    
 309    261.770    -32.853  0.17015    
 310    276.420    -32.853  2.91154E-03
 311    291.070    -32.853 -8.75501E-03
 312    305.720    -32.853  5.88906E-02
 313    320.370    -32.853  0.13425    
 314    335.020    -32.853  6.73466E-02
 315    349.670    -18.203 -0.14319    
 316    335.020    -18.203 -4.49356E-02
 317    320.370    -18.203  3.60322E-02
 318    305.720    -18.203  0.13705    
 319    291.070    -18.203  0.12871    
 320    276.420    -18.203  0.10707    
 321    261.770    -18.203  0.12697    
 322    247.120    -18.203  5.69985E-02
 323    232.470    -18.203  6.91711E-02
