!
! 15-AUG-2019 20:24:32
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -3.7 -1 /OUTPUT ngc1333_cn10_int_1.txt
!
 438   -148.430     25.747  0.42790    
 439   -133.780     25.747  0.51292    
 440   -119.130     25.747  0.52138    
 441   -104.480     25.747  0.59424    
 442    -89.830     25.747  0.45893    
 443    -75.180     25.747  0.43454    
 444    -60.530     25.747  0.59021    
 445    -45.880     25.747  0.84155    
 446    -31.230     25.747  0.92840    
 447    -16.580     25.747  0.99470    
 448     -1.930     25.747  0.88835    
 449     12.720     25.747  0.93353    
 450     27.370     25.747  0.89561    
 451     42.020     25.747   1.0139    
 452     56.670     25.747   1.2101    
 453     71.320     25.747   1.3167    
 454     85.970     25.747   1.7050    
 455    100.620     25.747   1.9757    
 456    115.270     25.747   1.7772    
 457    129.920     25.747   1.4244    
 458    144.570     25.747   1.2536    
 459    159.220     25.747   1.3150    
 460    173.870     25.747   1.1534    
 461    188.520     25.747  0.82845    
 462    203.170     25.747  0.64437    
 463    217.820     25.747  0.31968    
 464    232.470     25.747  0.20194    
 465    247.120     25.747  0.13094    
 466    261.770     25.747  7.04241E-02
 467    276.420     25.747  0.10905    
 468    291.070     25.747  7.32989E-02
 469    305.720     25.747  9.93532E-02
 470    320.370     25.747  5.03533E-02
 471    335.020     25.747  1.99592E-02
 472    349.670     25.747  9.40216E-03
 473    364.320     25.747  1.24700E-02
 474    364.320     40.397 -5.08841E-02
 475    349.670     40.397 -3.34594E-02
 476    335.020     40.397 -2.52207E-02
 477    320.370     40.397 -2.57114E-02
 478    305.720     40.397  3.31693E-02
 479    291.070     40.397  3.95174E-02
 480    276.420     40.397  6.21547E-02
 481    261.770     40.397  7.77099E-02
 482    247.120     40.397  0.15379    
 483    232.470     40.397  0.25257    
 484    217.820     40.397  0.34850    
 485    203.170     40.397  0.61188    
 486    188.520     40.397  0.83128    
 487    173.870     40.397   1.2817    
 488    159.220     40.397   1.4033    
 489    144.570     40.397   1.3697    
 490    129.920     40.397   1.4385    
 491    115.270     40.397   1.6630    
 492    100.620     40.397   1.8892    
 493     85.970     40.397   1.7090    
 494     71.320     40.397   1.3930    
 495     56.670     40.397   1.1574    
 496     42.020     40.397  0.95367    
 497     27.370     40.397  0.89186    
 498     12.720     40.397  0.70642    
 499     -1.930     40.397  0.55584    
 500    -16.580     40.397  0.70203    
 501    -31.230     40.397  0.66147    
 502    -45.880     40.397  0.70473    
 503    -60.530     40.397  0.58370    
 504    -75.180     40.397  0.44949    
 505    -89.830     40.397  0.45497    
 506   -104.480     40.397  0.59806    
 507   -119.130     40.397  0.67918    
 508   -133.780     40.397  0.66175    
 509   -148.430     40.397  0.64893    
 510   -163.080     40.397  0.58503    
 511   -177.730     40.397  0.61594    
 512   -192.380     40.397  0.62191    
 513   -207.030     40.397  0.55732    
 514   -207.030     55.047  0.59455    
 515   -192.380     55.047  0.67429    
 516   -177.730     55.047  0.68348    
 517   -163.080     55.047  0.70517    
 518   -148.430     55.047  0.72421    
 519   -133.780     55.047  0.69547    
 520   -119.130     55.047  0.66973    
 521   -104.480     55.047  0.53849    
 522    -89.830     55.047  0.44050    
 523    -75.180     55.047  0.41971    
 524    -60.530     55.047  0.55439    
 525    -45.880     55.047  0.64305    
 526    -31.230     55.047  0.59913    
 527    -16.580     55.047  0.48769    
 528     -1.930     55.047  0.31938    
 529     12.720     55.047  0.49499    
 530     27.370     55.047  0.80728    
 531     42.020     55.047  0.87445    
 532     56.670     55.047   1.0664    
 533     71.320     55.047   1.3653    
 534     85.970     55.047   1.7438    
 535    100.620     55.047   1.8077    
 536    115.270     55.047   1.5714    
 537    129.920     55.047   1.5132    
 538    144.570     55.047   1.5646    
 539    159.220     55.047   1.3146    
 540    173.870     55.047   1.0909    
 541    188.520     55.047  0.70206    
 542    203.170     55.047  0.30105    
 543    217.820     55.047  0.23276    
 544    232.470     55.047  0.19889    
 545    247.120     55.047  0.10687    
 546    261.770     55.047  5.36617E-02
 547    276.420     55.047  0.10277    
 548    291.070     55.047  0.16934    
 549    305.720     55.047  0.14892    
 550    320.370     55.047  0.12642    
 551    335.020     55.047  0.15038    
 552    349.670     55.047  0.15552    
 553    364.320     55.047  0.14384    
 554    364.320     69.697  0.24799    
 555    349.670     69.697  0.20304    
 556    335.020     69.697  0.15942    
 557    320.370     69.697  0.14334    
 558    305.720     69.697  0.19845    
 559    291.070     69.697  0.23725    
 560    276.420     69.697  0.18094    
 561    261.770     69.697  0.17364    
 562    247.120     69.697  0.15893    
 563    232.470     69.697  0.23808    
 564    217.820     69.697  0.24074    
 565    203.170     69.697  0.29886    
 566    188.520     69.697  0.60014    
 567    173.870     69.697  0.87763    
 568    159.220     69.697   1.2376    
 569    144.570     69.697   1.6630    
 570    129.920     69.697   1.5538    
 571    115.270     69.697   1.5516    
 572    100.620     69.697   1.7482    
 573     85.970     69.697   1.6379    
 574     71.320     69.697   1.1070    
 575     56.670     69.697  0.84083    
 576     42.020     69.697  0.79799    
 577     27.370     69.697  0.73516    
 578     12.720     69.697  0.47775    
 579     -1.930     69.697  0.21003    
 580    -16.580     69.697  0.21195    
 581    -31.230     69.697  0.37777    
 582    -45.880     69.697  0.52753    
 583    -60.530     69.697  0.58303    
 584    -75.180     69.697  0.41002    
 585    -89.830     69.697  0.48644    
 586   -104.480     69.697  0.55467    
 587   -119.130     69.697  0.66581    
 588   -133.780     69.697  0.70006    
 589   -148.430     69.697  0.73571    
 590   -163.080     69.697  0.72360    
