!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 134801    -63.867    -10.000   1.2545    
 134802    -60.867    -10.000   2.6894    
 134803    -57.867    -10.000   1.0901    
 134804    -54.867    -10.000   1.4488    
 134805    -51.867    -10.000   1.5819    
 134806    -48.867    -10.000   2.4011    
 134807    -45.867    -10.000   3.0433    
 134808    -42.867    -10.000   3.7707    
 134809    -39.867    -10.000   3.5421    
 134810    -36.867    -10.000   2.6949    
 134811    -33.867    -10.000   3.2217    
 134812    -30.867    -10.000   2.0646    
 134813    -27.867    -10.000   3.5534    
 134814    -24.867    -10.000  0.54858    
 134815    -21.867    -10.000   4.4217    
 134816    -18.867    -10.000   3.4829    
 134817    -15.867    -10.000   1.9881    
 134818    -12.867    -10.000   1.4179    
 134819     -9.867    -10.000   4.5325    
 134820     -6.867    -10.000   1.8504    
 134821     -3.867    -10.000   2.3169    
 134822     -0.867    -10.000  0.50784    
 134823      2.133    -10.000  0.89791    
 134824      5.133    -10.000   3.7757    
 134825      8.133    -10.000   2.2243    
 134826     11.133    -10.000   3.3017    
 134827     14.133    -10.000   2.8157    
 134828     17.133    -10.000   2.4418    
 134829     20.133    -10.000   4.7000    
 134830     23.133    -10.000   2.2351    
 134831     26.133    -10.000  0.64482    
 134832     29.133    -10.000   2.2622    
 134833     32.133    -10.000   2.5633    
 134834     35.133    -10.000   4.0867    
 134835     38.133    -10.000   2.5593    
 134836     41.133    -10.000 -9.52438E-03
 134837     44.133    -10.000   2.7056    
 134838     47.133    -10.000   1.6924    
 134839     50.133    -10.000   2.2496    
 134840     53.133    -10.000  -1.1778    
 134841     56.133    -10.000 -0.73892    
 134842     59.133    -10.000  0.27985    
 134843     62.133    -10.000  0.20396    
 134844     65.133    -10.000  0.67159    
 134845     68.133    -10.000   2.1568    
 134846     71.133    -10.000   1.8439    
 134847     74.133    -10.000  0.79085    
 134848     77.133    -10.000   1.9150    
 134849     80.133    -10.000   1.2526    
 134850    -87.867    -90.000  0.24696    
 134851    -84.867    -90.000 -0.18879    
 134852    -81.867    -90.000  0.65295    
 134853    -78.867    -90.000  0.53075    
 134854    -75.867    -90.000  0.43449    
 134855    -72.867    -90.000  0.28014    
 134856    -69.867    -90.000  0.62739    
 134857    -66.867    -90.000   2.1644    
 134858    -63.867    -90.000   2.1897    
 134859    -60.867    -90.000  6.35259E-02
 134860    -57.867    -90.000 -0.38100    
 134861    -54.867    -90.000  0.87124    
 134862    -51.867    -90.000 -0.35447    
 134863    -48.867    -90.000  -1.6108    
 134864    -45.867    -90.000   1.5000    
